u_credits,t1_credits,t2_credits,t3_credits,t4_credits,shield,gun
3950,3900,3550,3500,3700,light,vandal
3500,7500,4200,6500,6350,heavy,vandal
3850,3200,3250,3400,3000,heavy,phantom
4950,4900,4600,4900,4650,none,operator
4500,5350,4150,4250,3800,heavy,phantom
3500,3150,3200,3000,3000,light,stinger
4300,100,4100,3850,4200,heavy,phantom
3500,3550,3250,3550,3100,heavy,phantom
4900,4950,4700,3700,4350,heavy,phantom
800,800,800,800,800,none,ghost
4650,4600,3800,5600,4600,heavy,vandal
800,800,800,800,800,light,classic
2300,2200,1900,1900,1900,none,sheriff
4100,4000,3950,3700,4050,light,phantom
3400,1300,3150,1000,2900,light,marshal
4100,4350,4450,2900,4100,heavy,phantom
3400,3050,3450,3350,3050,light,vandal
3450,4650,5050,3250,3100,light,vandal
6350,3850,3750,4650,4600,heavy,phantom
5150,6650,6350,7400,6300,heavy,phantom
4750,3550,5350,4500,4450,heavy,phantom
4450,6550,5400,2450,3950,light,vandal
6050,5550,6900,7450,6150,heavy,phantom
800,800,800,800,800,none,sheriff
5200,4800,3700,4900,3150,light,phantom
5400,5000,6000,4300,2850,heavy,phantom
4500,4200,5200,6400,4900,heavy,phantom
6200,7700,3100,5800,6600,heavy,phantom
3500,5300,3800,6100,6900,light,phantom
5100,3550,2500,2600,2400,light,phantom
3800,2800,5100,3000,6200,light,phantom
800,800,800,800,800,none,ghost
3300,4750,3500,3850,3150,light,vandal
4700,4700,3900,4200,3500,light,vandal
4200,3400,3250,3100,3600,light,vandal
3950,5650,3500,3100,5400,light,vandal
3500,4650,4400,5000,4900,light,vandal
4050,5900,3450,3750,3800,heavy,vandal
6100,3800,6700,8750,6000,heavy,vandal
3700,4700,8300,8050,6750,heavy,vandal
2400,3400,3150,2350,4300,light,sheriff
4000,4400,3850,6000,1550,light,vandal
3750,4400,1950,2150,4450,light,vandal
3200,4750,3450,3400,3500,light,judge
3750,3300,3450,3900,3500,heavy,spectre
3400,4450,3800,3400,3800,heavy,vandal
4300,5000,6450,6250,5600,heavy,vandal
5000,5000,5000,5000,5000,heavy,vandal
5000,5000,5000,5000,5000,heavy,vandal
5000,5000,5000,5000,5000,heavy,odin
5000,5000,5000,5000,5000,heavy,vandal
5000,5000,5000,5000,5000,heavy,odin
800,800,800,800,800,none,ghost
3650,3200,3200,3000,3000,light,bulldog
4000,1500,4000,4500,4300,light,vandal
3200,3400,3150,1100,3000,light,ghost
1700,5000,4650,3400,3600,heavy,phantom
5850,4600,5900,5450,4200,heavy,vandal
4300,4100,5050,5250,2650,heavy,phantom
3400,3700,3500,3000,3550,light,stinger
5200,5850,4950,4550,5650,heavy,phantom
3700,4750,3350,3650,4100,heavy,phantom
6500,7750,4900,5250,4200,heavy,phantom
800,800,800,800,800,light,classic
3700,3300,3850,3500,3350,light,vandal
4800,7000,4900,4500,4800,heavy,operator
4900,4600,4250,4950,4450,light,vandal
3900,3000,3500,3350,2950,light,vandal
4850,6500,6100,8050,4900,heavy,vandal
3200,3250,3100,3000,2900,none,vandal
3500,3500,4600,3550,3300,heavy,vandal
800,800,800,800,800,none,frenzy
3900,3900,3900,4300,3950,light,phantom
3800,3200,3600,3500,3000,heavy,phantom
4600,3500,2050,3750,3300,light,sheriff
5900,5300,5000,5100,4800,light,operator
2400,2900,5650,2800,2800,none,sheriff
4800,7000,4900,4500,4800,heavy,operator
6300,3850,6900,3500,3650,heavy,operator
4100,5400,7250,5800,7450,heavy,judge
5600,4350,4500,3800,5000,heavy,operator
5300,3750,4900,5400,3450,light,phantom
4500,3000,4200,4100,3850,heavy,phantom
800,800,800,800,800,light,frenzy
2400,2200,2200,2400,2400,none,sheriff
5300,4900,5300,5050,5600,heavy,bulldog
7700,4700,3700,3800,7200,heavy,phantom
5500,5200,5000,4300,6050,light,phantom
